show_id,type,title ,director,cast,date_added,release_year,rating,duration,listed_in,genre,country
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,2021-09-25,2020,PG-13,90 min,Documentaries,Documentaries,United States
s2,TV Show,Blood and Water,Unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane",2021-09-24,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows,South Africa
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy",2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action and Adventure",Crime TV Shows,Other
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",Docuseries,Other
s5,TV Show,Kota Factory,Unknown,"Mayur More, Jitendra Kumar, Ranjan Raj",2021-09-24,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,India
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater",2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV Dramas,Other
s7,Movie,My Little Pony A New Generation,Robert Cullen,"Vanessa Hudgens, Kimiko Glenn, James Marsden",2021-09-24,2021,PG,91 min,Children and Family Movies,Children and Family Movies,Other
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah",2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",Dramas,United States
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry",2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",British TV Shows,United Kingdom
s10,Movie,The Starling,Theodore Melfi,"Melissa Mccarthy, Chris O'Dowd, Kevin Kline",2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",Comedies,United States
s11,TV Show,Vendetta Truth Lies And The Mafia,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,Other
